DATE,WASTHPI
2003-01-01,311.18
2003-04-01,313.85
2003-07-01,317.75
2003-10-01,325.8
2004-01-01,330.75
2004-04-01,340.6
2004-07-01,354.84
2004-10-01,363.04
2005-01-01,374.63
2005-04-01,394.62
2005-07-01,412.15
2005-10-01,429.38
2006-01-01,444.75
2006-04-01,460.08
2006-07-01,473.69
2006-10-01,483.88
2007-01-01,492.57
2007-04-01,498.17
2007-07-01,499.45
2007-10-01,502.21
2008-01-01,500.86
2008-04-01,491.0
2008-07-01,476.4
2008-10-01,471.41
2009-01-01,467.71
2009-04-01,447.77
2009-07-01,432.91
2009-10-01,427.1
2010-01-01,419.72
2010-04-01,414.89
2010-07-01,414.77
2010-10-01,407.42
2011-01-01,393.72
2011-04-01,383.77
2011-07-01,384.94
2011-10-01,385.28
2012-01-01,379.05
2012-04-01,375.8
2012-07-01,382.67
2012-10-01,387.29
2013-01-01,390.05
2013-04-01,397.21
2013-07-01,405.6
2013-10-01,409.59
2014-01-01,413.99
2014-04-01,424.95
2014-07-01,434.24
2014-10-01,438.57
2015-01-01,444.5
2015-04-01,457.59
2015-07-01,470.34
2015-10-01,478.31
2016-01-01,487.78
2016-04-01,505.24
2016-07-01,520.56
2016-10-01,527.92
2017-01-01,537.38
2017-04-01,558.42
2017-07-01,574.93
2017-10-01,583.35
2018-01-01,597.06
2018-04-01,618.18
2018-07-01,625.36
2018-10-01,626.73
2019-01-01,635.46
2019-04-01,648.33
2019-07-01,656.68
2019-10-01,664.15
2020-01-01,675.5
2020-04-01,685.87
2020-07-01,701.49
2020-10-01,720.02
2021-01-01,741.54
2021-04-01,797.88
2021-07-01,844.66
2021-10-01,872.78
2022-01-01,911.13
2022-04-01,975.15
2022-07-01,966.46
2022-10-01,938.28
2023-01-01,934.99
